stat,type,filesizeGib,writeFreqDistOn,writeFrequencyZones,time,writeMibs, physMibs,readMibs, physicalMediaUnitsWrittenBytes, physicalMediaUnitsReadBytes, percentFreeBlocks,softECCError, unalignedIO, maxUserDataEraseCount,minUserDataEraseCount, currentThrottlingStatus
keep,ssd,10,0,0,1.00573,68,0,29,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,2.00901,66,0,28,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,3.00943,74,0,31,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,4.01028,74,0,31,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,5.01462,68,0,29,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,6.01804,67,0,29,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,7.01851,69,0,30,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,8.019,71,0,30,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,9.01988,70,0,29,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,10.0219,72,0,30,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,11.0276,69,0,30,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,12.028,68,0,29,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,13.0311,71,0,30,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,14.0318,69,0,29,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,15.0339,65,0,28,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,16.0361,69,0,30,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,17.0401,70,0,29,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,18.0423,69,0,30,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,19.0455,70,0,30,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,20.0478,67,0,29,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,21.0486,70,0,30,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,22.0596,71,0,31,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,23.0621,66,0,28,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,24.0646,71,0,30,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,25.0666,72,0,30,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,26.0713,68,0,29,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,27.0741,69,0,30,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,28.0792,71,0,30,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,29.0807,72,0,31,0,0,213,0,22,0,0,0
