stat,type,filesizeGib,writeFreqDistOn,writeFrequencyZones,time,writeMibs, physMibs,readMibs, physicalMediaUnitsWrittenBytes, physicalMediaUnitsReadBytes, percentFreeBlocks,softECCError, unalignedIO, maxUserDataEraseCount,minUserDataEraseCount, currentThrottlingStatus
keep,ssd,10,0,0,1.00068,0,0,1002,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,2.00092,0,0,945,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,3.00102,0,0,952,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,4.00105,0,0,954,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,5.00107,0,0,949,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,6.00124,0,0,948,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,7.00132,0,0,948,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,8.00145,0,0,949,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,9.00169,0,0,924,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,10.0018,0,0,905,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,11.002,0,0,904,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,12.0022,0,0,905,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,13.0025,0,0,905,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,14.0025,0,0,902,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,15.0028,0,0,903,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,16.0029,0,0,904,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,17.003,0,0,903,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,18.0032,0,0,904,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,19.0033,0,0,904,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,20.0034,0,0,907,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,21.0036,0,0,902,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,22.0037,0,0,904,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,23.004,0,0,906,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,24.0042,0,0,905,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,25.0042,0,0,905,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,26.0044,0,0,906,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,27.0046,0,0,904,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,28.0049,0,0,906,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,29.005,0,0,905,0,0,0,0,0,0,0,0
